id,category,prompt,response,source,source_id
codealpaca-321,coding,Create a program to display all prime numbers between a given range.,"def prime_numbers_in_range(a, b): """""" Displays all prime numbers between a given range. """""" for num in range(a, b+1): if is_prime(num): print(num,' is prime.') def is_prime(num): """""" Checks if a number is prime or not. """""" if num == 1: return False else: for i in range(2, num): if num % i == 0: return False return True",sahil2801/CodeAlpaca-20k,321
codealpaca-18668,coding,Write a function that takes an integer n and prints the n x n grid with stars.,"def print_grid(n): for r in range(n): print(""* ""*n)",sahil2801/CodeAlpaca-20k,18668
codealpaca-8293,coding,"Create a function to filter out any strings containing the word ""the"" from a list of strings.","def filter_the(string_list): filtered_list = [] for string in string_list: if ""the"" not in string: filtered_list.append(string) return filtered_list",sahil2801/CodeAlpaca-20k,8293
dolly-12924,factual,What did the 0 say to the 8?,Nice belt!,databricks/databricks-dolly-15k,12924
codealpaca-18230,coding,Create an PHP script to display the current date and day.,"<?php echo date(""l, F jS"") ?>",sahil2801/CodeAlpaca-20k,18230
dolly-11826,factual,What is the name of the movie made by Ben Affleck and Matt Damon about the company Nike?,Air,databricks/databricks-dolly-15k,11826
dolly-4318,factual,What is a Wonton?,"A wonton is a type of Chinese dumpling that is generally served in a soup broth. The dumpling filling is placed onto a thin dough wrapper, then the wrapper is then sealed to prevent the filling from spilling out when cooking. The filling is commonly made with pork and shrimp. Filled wonton dumplings are then placed into boiling water for cooking. Wontons can also be deep fried with a variety of fillings.",databricks/databricks-dolly-15k,4318
dolly-5611,factual,What are the different swimming styles? Which one is the fastest and which one the slowest?,"There are four main different swimming styles in competitive swimming. These are backstroke, breaststroke, butterfly and crawl. Crawl is the fastest style, while breaststroke is considered to be the slowest.",databricks/databricks-dolly-15k,5611
codealpaca-8617,coding,Write a code to convert the provided string into an array of numbers.,"arr = list(map(int, string_two.split("","")))",sahil2801/CodeAlpaca-20k,8617
codealpaca-4583,coding,Write a method to sum up two matrices,"def matrix_addition(A, B): if len(A) != len(B) or len(A[0]) != len(B[0]): return 'Matrices cannot be added!' else: result = [[0 for i in range(len(A[0]))] for j in range(len(A))] for i in range(len(A)): for j in range(len(A[0])): result[i][j] = A[i][j] + B[i][j] return result A = [[3, 5, 7], [1, 6, 9]] B = [[4, 8, 2], [3, 5, 7]] print(matrix_addition(A, B)) # [[7, 13, 9], [4, 11, 16]]",sahil2801/CodeAlpaca-20k,4583
dolly-12209,factual,what is a scottish fold cat?,"A scottish fold cat is a feline with a genetic mutation that causes its ears to fold down. Scottish fold cats are rare, but the breed is well-loved by many for their gentle demeanor and soft fur.",databricks/databricks-dolly-15k,12209
codealpaca-3298,coding,Develop a MATLAB function to calculate the product of two matrices.,"function F = matrix_mult(A,B) [m,n] = size(A); [p,q] = size(B); if (n~=p) error('The matrices can not be multiplied'); end F = zeros(m,q); for i=1:m for j=1:q sum = 0; for k=1:n sum = sum + A(i,k)*B(k,j); end F(i,j) = sum; end end end",sahil2801/CodeAlpaca-20k,3298
dolly-5880,factual,Name some famous jazz songs?,"""Take Five"" by Dave Brubeck, ""So What"" by Miles Davis, ""Take The A Train"" by Duke Ellington, ""Round Midnight"" by Thelonious Monk and ""My Favorite Things"" by John Coltrane are all considered to be very famous jazz songs.",databricks/databricks-dolly-15k,5880
codealpaca-5328,coding,Generate a JSON string from a given Python dictionary,json.dumps(my_dict),sahil2801/CodeAlpaca-20k,5328
codealpaca-19616,coding,Create an if-else statement in C++ to check if an integer number is greater than 0.,"if (number > 0) cout << number << "" is greater than 0"" << endl; else cout << number << "" is not greater than 0"" << endl;",sahil2801/CodeAlpaca-20k,19616
codealpaca-290,coding,"Write a code to reverse the order of a data structure such as array, list, or stack.","list1.reverse() # [9, 7, 5, 3, 1]",sahil2801/CodeAlpaca-20k,290
codealpaca-17565,coding,"Given a triangle, calculate its area.",""""""" Calculate the area of a triangle """""" base = 10 height = 8 # calculating the area of a triangle area = (base*height)/2 print(""The area of the triangle is: {}"".format(area))",sahil2801/CodeAlpaca-20k,17565
codealpaca-18411,coding,Parse the following XML data to get a list of country names,"import xml.etree.ElementTree as ET tree = ET.parse('data.xml') root = tree.getroot() countries = [] for country in root: countries.append(country.attrib['name']) print(countries) # Output: ['Ghana', 'Iceland']",sahil2801/CodeAlpaca-20k,18411
dolly-10917,factual,Who is the best all-time chess player?,"According to the international chess federation (FIDE) and its adopted ELO rating, Magnus Carlsen is the best all-time chess player with an ELO best rating of 2882. Please note, ELO rating was adopted by FIDE in 1970 so there could have been players before that date with higher ELO rating. Still, it is safe to say Magnus Carlsen is one of the all-time best players ever.",databricks/databricks-dolly-15k,10917
codealpaca-10653,coding,Change all the element in the array to negative using JavaScript.,// Change all the element in the array to negative for (var i = 0; i < arr.length; i++) { arr[i] = -arr[i]; },sahil2801/CodeAlpaca-20k,10653
codealpaca-8550,coding,Write a SQL query to list customers who have placed orders in the past month.,SELECT * FROM customer_table WHERE order_date > (CURRENT_DATE - INTERVAL '30' DAY);,sahil2801/CodeAlpaca-20k,8550
dolly-8099,factual,What languages are spoken in Belgium?,"There are 3 languages: Dutch, French, and German. Dutch is spoken in the Northern part of Belgium, French in the South, and German is spoken along the German border.",databricks/databricks-dolly-15k,8099
codealpaca-4272,coding,Write a Java program to print out a triangle of stars.,* ** ***,sahil2801/CodeAlpaca-20k,4272
dolly-5723,factual,Where was the 2nd edition of Indian and Bangladesh Navies held?,The 2nd edition of Indian and Bangladesh Navies was held in Bay of Bengal,databricks/databricks-dolly-15k,5723
dolly-9985,factual,What are the top 3 largest countries by territory?,"Russia, Canada and China",databricks/databricks-dolly-15k,9985
dolly-14926,factual,what is elasticsearch?,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents.",databricks/databricks-dolly-15k,14926
dolly-4762,factual,How many oceans in the world?,There are 7 oceans in the world,databricks/databricks-dolly-15k,4762
dolly-1394,factual,How do you change a bicycle tire?,"Start by taking off the wheel. For this, open the quick release for the brakes or detach the brake cable. Then, unscrew the axle to take off the wheel. Following, you have to deflate the tire and be able to pull out the tube from underneath the tire. Pry the tire off the rim with tire levers. Once the tire comes off, you can replace the tube and work it back underneath the tire. Remember only to inflate the tube completely once both tube and tire are fitted on the rim. To mount the wheel again, follow the above-described steps in reverse order.",databricks/databricks-dolly-15k,1394
dolly-1279,factual,How can I decide what bike I should get?,"When it comes to bicycles for adults, there are different kinds available in the market. Select a bike based on how you'd like to use it. Bikes can be categorized as follows: 1. Road bikes - These bikes have super thin tires and are often used for biking on roads. These help you attain high speeds relatively quickly. 2. Mountain bikes - These bikes are made to sustain the rough terrain that you could come across while biking. The tires are much thicker and made to protect you and give you the support you need. 3. Hybrid/Commuter bikes - These bikes fall into the middle of the above 2 categories. If you think you might do a bit of road biking and mountain biking, then this might be your best option. You can also go to a store that specializes in selling and repairing bikes to get more information.",databricks/databricks-dolly-15k,1279
codealpaca-14595,coding,Create a function that takes in an array of strings and outputs an array of tuples of the first and last word in each string.,"def first_last_words(arr): """"""Gets the first and last word from each string. Parameters: arr (list): array of strings """""" result = [] for string in arr: words = string.split() result.append((words[0], words[-1])) return result if __name__ == '__main__': array = [""Hello World"", ""Foo Bar"", ""Goodbye Moon""] print(first_last_words(array))",sahil2801/CodeAlpaca-20k,14595
codealpaca-6949,coding,Rewrite the following Bash program to print only even numbers between 0 and 100.,#!/bin/sh # loop from 0 to 100 for i in $(seq 0 2 100) do echo $i done,sahil2801/CodeAlpaca-20k,6949
codealpaca-3872,coding,"Fix the bug in the following code by modifying the function is_star_jumping_high_enough: def is_star_jumping_high_enough(star_height): """"""return true if star height is greater than 5"""""" if star_height < 5: return True","def is_star_jumping_high_enough(star_height): """"""return true if star height is greater than 5"""""" if star_height > 5: return True",sahil2801/CodeAlpaca-20k,3872
dolly-7023,factual,What is the difference between cherry blossoms and plum blossoms?,"The easiest way is by observing the following two differences. First, pay attention to the petals. The cherry blossom is usually spiky at the end of each petal whereas the plum blossom is more rounded. Second, you can tell by the smell. True cherry blossoms have a faint smell, with the exception of some rare trees. Plum trees have a strong flowery smell.",databricks/databricks-dolly-15k,7023
dolly-13151,factual,Where was Bob Dylan born,"Duluth, Minnesota",databricks/databricks-dolly-15k,13151
codealpaca-1342,coding,Write a code snippet using Python to pop an element from a list.,some_list.pop() # pops 3,sahil2801/CodeAlpaca-20k,1342
codealpaca-15047,coding,Write code to convert a given string to all uppercase letters in Python.,"string_org = ""convert this to uppercase"" string_uppercase = string_org.upper() print(string_uppercase) # OUTPUT: CONVERT THIS TO UPPERCASE",sahil2801/CodeAlpaca-20k,15047
codealpaca-5480,coding,Explain how to use unsupervised machine learning to classify the following dataset,"Unsupervised machine learning methods can be used to classify the given dataset by applying clustering algorithms. Clustering algorithms group objects which are similar to each other into clusters, while also attempting to keep the clusters distinct from each other. A clustering algorithm could be used to group the given dataset together and form distinct clusters. Each cluster would represent a distinct group, and each group would have a distinct set of characteristics. For example, the algorithm could group A, B, and C into one cluster, thus showing that each entry in the dataset has similar characteristics.",sahil2801/CodeAlpaca-20k,5480
dolly-7946,factual,What are the words of House Footly?,"""Tread Lightly Here""",databricks/databricks-dolly-15k,7946
dolly-10381,factual,What is the best password?,hunter2,databricks/databricks-dolly-15k,10381
codealpaca-15193,coding,Define a python function called ``string_length`` that can take a string as an argument and output the length of that string.,def string_length(str): return len(str),sahil2801/CodeAlpaca-20k,15193
codealpaca-12296,coding,Write a code to find the first 4 terms of the Fibonacci sequence in Java.,"public class Fibonacci { public static int[] getFibonacciNumbers(int numTerms) { int[] sequence = new int[numTerms]; int firstTerm = 0, secondTerm = 1; sequence[0] = firstTerm; sequence[1] = secondTerm; for (int i = 2; i < numTerms; i++) { sequence[i] = firstTerm + secondTerm; int temp = secondTerm; secondTerm = firstTerm + secondTerm; firstTerm = temp; } return sequence; } public static void main(String[] args) { int numTerms = 4; int[] sequence = getFibonacciNumbers(numTerms); System.out.println(""The first "" + numTerms + "" Fibonacci Numbers are:""); for (int i = 0; i < numTerms; i++) { System.out.println(sequence[i]); } } }",sahil2801/CodeAlpaca-20k,12296
codealpaca-2027,coding,Write a query to find all employees whose age is greater than 25.,SELECT * FROM employees WHERE age > 25;,sahil2801/CodeAlpaca-20k,2027
codealpaca-9347,coding,Write an if else statement in Python for checking if a given number is positive or negative.,"if x > 0: print(""The number is positive"") else: print(""The number is negative"")",sahil2801/CodeAlpaca-20k,9347
dolly-8459,factual,when was the 2nd world war?,It started in 1939 and ended in 1945,databricks/databricks-dolly-15k,8459
codealpaca-1097,coding,Find the length of a given string using JavaScript.,"let str = ""I'm a GPT model""; let length = str.length; console.log(length); // 16",sahil2801/CodeAlpaca-20k,1097
dolly-8233,factual,What does HIPAA stand for?,HIPAA is an acronym for the Health Insurance Portability and Accountability Act.,databricks/databricks-dolly-15k,8233
dolly-13076,factual,What is a covalent bond?,"A covalent bond is a bond where electrons are shared between atoms. An example of a covalent bond is H2O, or water.",databricks/databricks-dolly-15k,13076
dolly-6596,factual,Name a Jane Austen book.,Pride and Prejudice.,databricks/databricks-dolly-15k,6596
codealpaca-12442,coding,"Write a MySQL query to count the number of students enrolled in a course called ""Coding 101"".",SELECT COUNT(*) FROM students WHERE course = 'Coding 101';,sahil2801/CodeAlpaca-20k,12442
codealpaca-19940,coding,"Create a loop that prints out the numbers from 30 to 0, going in reverse.","for i in range(30, -1, -1): print(i)",sahil2801/CodeAlpaca-20k,19940
dolly-12909,factual,"What links the names Botvinik, Tal, Karpov, Fischer",Chess World Champs,databricks/databricks-dolly-15k,12909
dolly-8693,factual,What is the difference between an asset and a liability.,The difference between an asset and a liability is that an asset generally provides value over the long term while a liability is an expense or debt owed.,databricks/databricks-dolly-15k,8693
dolly-6815,factual,Who is Eric Brewer? What is he known for?,"Eric Allen Brewer is professor emeritus of computer science at the University of California, Berkeley and vice-president of infrastructure at Google. His research interests include operating systems and distributed computing. He is known for formulating the CAP theorem about distributed network applications in the late 1990s.",databricks/databricks-dolly-15k,6815
dolly-3117,factual,Why is Pickleball sport so popular,"Pickleball is so popular because anyone can get started fairly easily, as the equipment is not expensive, and there are lot of freely available public courts to play. It is also an easy sport to quickly pick up and able to play at a decent level recreationally and competitively.",databricks/databricks-dolly-15k,3117
dolly-9623,factual,What should we conserve electricity?,"When you conserve electricity you are actually helping the environment. You are helping the environment when you consider the way electricity is produced. Electricity is produced by steam generation, solar panels, dam power generators, windmills, gas turbines, and nuclear. Most of these methods use fossil fuels or other fuels that release greenhouse gas emissions during the electricity production process.",databricks/databricks-dolly-15k,9623
codealpaca-11629,coding,Find out the biggest number from the list,"my_list = [7, 9, 1, 3, 4] max = max(my_list) print(max)",sahil2801/CodeAlpaca-20k,11629
codealpaca-2467,coding,Write a CSS rule to add a shadow effect of 3px to a div.,div { box-shadow: 0px 0px 3px #ccc; },sahil2801/CodeAlpaca-20k,2467
dolly-10617,factual,What is the difference between a day on Earth and Mars?,"A day on mars is called a Sol whose name is borrowed from the Latin word for Sun. Compared to a day on Earth, a sol is slightly longer at 24 hours, 39 minutes, and 35 seconds which is equivalent to 1.0275 Earth days. Spacecraft that have landed on Mars conventionally use a 24 hour Mars clock where the hours, minutes, and seconds are 2.75% longer than the standard Earth durations.",databricks/databricks-dolly-15k,10617
codealpaca-8403,coding,Trace the given code and explain the operations.,"The code creates two lists, a and b, each containing three elements. Then, it creates a third list c by concatenating the two lists, resulting in a list containing six elements.",sahil2801/CodeAlpaca-20k,8403
codealpaca-2166,coding,Suggest a function in JavaScript for repeating a given string a specified number of times.,"const repeat = (str, n) => Array(n).fill(str).join('');",sahil2801/CodeAlpaca-20k,2166
codealpaca-16661,coding,Create a program that takes in two lists of numbers and computes the maximum difference between the two lists.,19,sahil2801/CodeAlpaca-20k,16661
codealpaca-19284,coding,Write a query in SQL to find records with specific value.,SELECT * FROM orders WHERE product_type = 'Electronics';,sahil2801/CodeAlpaca-20k,19284
dolly-1597,factual,Where is Hesse's Demi Bastion,"Hesse's Demi Bastion is a demi-bastion in the British Overseas Territory of Gibraltar. It is part of the Northern Defences of Gibraltar. The bastion forms a link in a chain of fortifications which ascend the lower north-west slopes of the Rock of Gibraltar, below the King's Lines Battery and Bombproof Battery. The Moorish Castle's Tower of Homage is at the top of the same incline. History It was originally the Baluado de S. Pedro (St. Peter's Bastion) during the Spanish period prior to the Capture of Gibraltar in 1704 under Prince George of Hesse-Darmstadt, after whom the bastion is named. The old Spanish bastion was rebuilt and renamed by the British in 1730. In 1762, during the Seven Years' War, it was armed with two 18-pdrs and four 4-pdrs to flank the ditch in front of the Landport Gate. By 1885 the bastion's guns were all 32-pdrs.",databricks/databricks-dolly-15k,1597
codealpaca-7132,coding,"Create a MySQL query to join two tables, 'customers' and 'orders', and select all the fields from 'orders' table except the field 'order_date'.",SELECT orders.* FROM orders JOIN customers ON orders.customer_id = customers.customer_id WHERE orders.order_date IS NOT NULL;,sahil2801/CodeAlpaca-20k,7132
dolly-6367,factual,Name three schools that are part of the university of London,"The London school of economics, the school of oriental and African studies and kings college",databricks/databricks-dolly-15k,6367
dolly-10405,factual,What are some of the most well-known castles in the Loire Valley in France?,"The list of castles includes Château de Cheverny, Château de Chambord, Château de Chenonceau, Château d'Azay-le-Rideau, Château de Villandry, Château d'Amboise, and Château de Chaumont.",databricks/databricks-dolly-15k,10405
codealpaca-70,coding,Write a JavaScript code to get the current browser URL.,var currentURL = window.location.href; console.log(currentURL);,sahil2801/CodeAlpaca-20k,70
codealpaca-11054,coding,Write code to calculate the cosine similarity between the two given sentences,"from sklearn.metrics.pairwise import cosine_similarity sentence1 = ""this is a great day"" sentence2 = ""this is a superb day"" vector1 = sentence1.split() vector2 = sentence2.split() cos_sim = cosine_similarity([vector1], [vector2]) print(cos_sim[0][0])",sahil2801/CodeAlpaca-20k,11054
dolly-9636,factual,"Which of the following months has 31 days? January, February, March, April, May, June, July, August, September, October, November, December","January, March, May, July, August, October and December have 31 days.",databricks/databricks-dolly-15k,9636
dolly-14177,factual,What is the Monty Hall problem?,"The Monty Hall problem is a probability brain teaser that many consider to be counterintuitive. The problem is stated as follows: Imagine you are a contestant on a game show and the host shows you 3 doors. Behind one of the doors is a car and behind the other two are goats. The prizes have been randomly assigned to the doors and you want to win the car. The host allows you to pick one of the doors as a first selection. Then, the host opens one of the remaining doors and reveals a goat is behind it. The host now allows you to decide if you want to switch from your selected door to the remaining unopened door. Should you switch, to maximize your probability of winning the car? Most people believe switching does not improve your probability of winning the car. However switching does increase your probability of winning the car from 1/3 to 2/3. An intuitive way to understand this problem is by first considering the initial state. At your first selection the probability that you have selected the right door is 1/3 and the probability that the car remains behind one of the two unselected doors is 2/3. Then the host reveals more information. The host reveals that one of the unselected doors does not have the car behind it. The probability that the originally unselected doors must have the car behind one of them is still 2/3, but you now know one of them specifically which does not have the car. Therefore, the remaining unopened unselected door must have a probability of 2/3 to contain the car, and your originally selected door must have a probability of 1/3. When offered the chance, you should switch to maximize your chances of winning the car.",databricks/databricks-dolly-15k,14177
codealpaca-13201,coding,Generate a random code string with each character from A-Z and 0-10.,"import random def random_code_string(length): chars = [chr(i) for i in range(65, 91)] + [str(digit) for digit in range(10)] code_string = """" for _ in range(length): random_char = random.choice(chars) code_string += random_char return code_string",sahil2801/CodeAlpaca-20k,13201
codealpaca-8683,coding,Create a function in JavaScript which takes two parameters x and y and returns the multiplication of the two,"function multiply(x, y) { return x * y; }",sahil2801/CodeAlpaca-20k,8683
codealpaca-2735,coding,Write a code that takes an array of integer as argument and returns the sum of the array elements.,function arraySum(arr) { var sum = 0; for (var i = 0; i < arr.length; i++) sum += arr[i]; return sum; },sahil2801/CodeAlpaca-20k,2735
dolly-3645,factual,What are some things that would cause the velocity of money within an economy to increase?,"The velocity of money is a macro economics term referring to the speed with which money changes hands, which can be determined by dividing the annual aggregate economic output (also called gross domestic product) of a country by the applicable money supply. The velocity of money can be impacted by many things. Growing optimism and confidence among consumers and businesses can increase velocity, whereas a decline in velocity can occur when people and companies become gloomier or more uncertain of their financial futures. Enhancements in technology that make transactions more efficient can also increase velocity.",databricks/databricks-dolly-15k,3645
codealpaca-7660,coding,Create a HTML page that shows a profile page for a user.,<!DOCTYPE html> <html> <head> <title>Profile Page</title> </head> <body> <h1>Profile Page</h1> <div> <h2>User Details</h2> <p>Name: John Doe</p> <p>Email: John.Doe@example.com</p> <p>Date of Birth: 01/01/1900</p> </div> </body> </html>,sahil2801/CodeAlpaca-20k,7660
dolly-7432,factual,What is elite shungite?,Elite shungite is a rare stone that comes from the Karelia region of Russia. There is no place in the world other than Russia where you can source this stone. It is around 2 billion years old. It is a a rare positive stone and is one of the only known natural materials known to contain fullerenes. Fullerenes are are powerful antioxidants. When these fullerenes get into our body its one of the best ways to fight free radicals.,databricks/databricks-dolly-15k,7432
codealpaca-1323,coding,Write a Python program to print all integer numbers from a given range.,"for i in range(1, 11): print(i)",sahil2801/CodeAlpaca-20k,1323
dolly-13408,factual,What is an allele?,"An allele is a variation of the same sequence of nucleotides at the same place on a long DNA molecule, as described in leading textbooks on genetics and evolution. The word ""Allele"" is a short form of ""allelomorph"". ""The chromosomal or genomic location of a gene or any other genetic element is called a locus (plural: loci) and alternative DNA sequences at a locus are called alleles."" The simplest alleles are single nucleotide polymorphisms (SNP), but they can also be insertions and deletions of up to several thousand base pairs. Popular definitions of 'allele' typically refer only to different alleles within genes. For example, the ABO blood grouping is controlled by the ABO gene, which has six common alleles (variants). In population genetics, nearly every living human's phenotype for the ABO gene is some combination of just these six alleles. Most alleles observed result in little or no change in the function of the gene product it codes for. However, sometimes, different alleles can result in different observable phenotypic traits, such as different pigmentation. A notable example of this is Gregor Mendel's discovery that the white and purple flower colors in pea plants were the result of a single gene with two alleles. Nearly all multicellular organisms have two sets of chromosomes at some point in their biological life cycle; that is, they are diploid. In this case, the chromosomes can be paired. Each chromosome in the pair contains the same genes in the same order, and place, along the length of the chromosome. For a given gene, if the two chromosomes contain the same allele, they, and the organism, are homozygous with respect to that gene. If the alleles are different, they, and the organism, are heterozygous with respect to that gene.",databricks/databricks-dolly-15k,13408
dolly-10414,factual,Which cities did some of the most famous English rock bands come from?,"Cities that some of the most famous English rock bands came from are Liverpool (The Beatles), London (Led Zeppelin, The Rolling Stones, The Who, Pink Floyd, Queen, Deep Purple), Sheffield (Def Leppard), Birmingham (Black Sabbath), and Manchester (Oasis).",databricks/databricks-dolly-15k,10414
codealpaca-4855,coding,Write an SQL query to select all rows from the table 'users' where the 'last_name' is 'Smith'.,SELECT * FROM users WHERE last_name = 'Smith',sahil2801/CodeAlpaca-20k,4855
dolly-2251,factual,Which country is the state of Illinois apart of?,The United States of America,databricks/databricks-dolly-15k,2251
dolly-3974,factual,What is Mexico?,Mexico is a country on the North American continent.,databricks/databricks-dolly-15k,3974
dolly-4077,factual,In what city was the first season of MTV's The Real World filmed?,The first season of MTV's The Real World was filmed in New York.,databricks/databricks-dolly-15k,4077
dolly-2740,factual,How is plastic made?,"Plastic is made from oil, natural gas and even plant oils during refining of these oils into other products like gasoline. Ethane and propane are created when treated with heat during a refinery process called cracking. This turns the Ethane and propane into ethylene and propylene which are used with other chemical ingredients to create polymers that are the base of what plastic is made out of.",databricks/databricks-dolly-15k,2740
dolly-544,factual,What is the largest airline in the world ?,"The largest airlines in the world can be defined in several ways. As of 2022, Delta Air Lines is the largest by revenue, assets value and market capitalization, China Southern Air Holding by passengers carried, American Airlines Group by revenue passenger mile, fleet size, numbers of employees and destinations served, FedEx Express by freight tonne-kilometers, Ryanair by number of routes, Turkish Airlines by number of countries served.",databricks/databricks-dolly-15k,544
codealpaca-13261,coding,"In HTML, write a code to create an input field to get an email address from a user.","<input type=""email"" name=""email"" placeholder=""Enter email address"">",sahil2801/CodeAlpaca-20k,13261
codealpaca-1081,coding,Complete the following C++ code to print the 3rd element from the array.,std::cout << arr[2] << std::endl;,sahil2801/CodeAlpaca-20k,1081
codealpaca-2501,coding,"Given an array, write a JavaScript snippet to return an object of frequencies for each element.","const nums = [1, 2, 2, 3, 4, 5]; const freq = {}; for (let num of nums) { if (freq[num]) { freq[num]++; } else { freq[num] = 1; } } console.log(freq); // {1: 1, 2: 2, 3: 1, 4: 1, 5: 1}",sahil2801/CodeAlpaca-20k,2501
dolly-8924,factual,Who was the first man to walk on the moon?,"Neil Armstrong, 1969",databricks/databricks-dolly-15k,8924
dolly-14800,factual,What are some titles from George Orwell?,"Nineteen Eighty-Four, Down and Out in Paris and London, Animal Farm, Burmese Days",databricks/databricks-dolly-15k,14800
codealpaca-3054,coding,Usage of Global Variable,A global variable is a variable that can accessed by any part of a program. It is created outside any function body and can be used without passing it as an argument or declaring it in the function.,sahil2801/CodeAlpaca-20k,3054
dolly-1632,factual,What is a baseball hat?,"A baseball hat is a fabric hat with a bill on the front that shades the eyes from the sun. It is referred to as a baseball hat because all baseball players wear this style of hat while in the field playing defense, and they have their team’s logo on the front of the hat. Many people, however, refer to a hat as a baseball hat if it is a fabric material with a front bill, even if it does not have the logo of a baseball team on the front.",databricks/databricks-dolly-15k,1632
dolly-14354,factual,"Which of these are electronic and which are found in nature: a laptop, a tree, Pixel phone, a calculator, an Apple Watch, a bee, and a volcano.","The electronic items are a a laptop, Pixel phone, a calculator, and an Apple Watch. The items found in nature are a tree, a bee, and a volcano.",databricks/databricks-dolly-15k,14354
codealpaca-9643,coding,Write a function in Java to split a string into an array of substrings.,"public static String[] splitString(String s, String regex) { return s.split(regex); }",sahil2801/CodeAlpaca-20k,9643
codealpaca-1301,coding,Write C++ code to calculate the sum of the elements in an array.,"int sumArrayElements(int arr[], int n) { int sum = 0; for (int i = 0; i < n; i++) sum += arr[i]; return sum; }",sahil2801/CodeAlpaca-20k,1301
dolly-7648,factual,Why does treasury bond price drop when bond yield increases?,"First, let's see the definition of a bond's price and yield. A bond's price is what investors are willing to pay for an existing bond. A bond's yield is the return to an investor from the bond's interest, or coupon, payments. The typical treasury bond has a fixed yield for X years (X = 5, 10, etc) from the time it is purchased. When we say bond yield increases, it is referring to the newly issued bond will have a higher yield than previously issued bond. Because those new bonds provide higher yield, the existing bonds will need to drop its price otherwise people won't buy them, they would just buy the newly issued bonds.",databricks/databricks-dolly-15k,7648
dolly-7252,factual,"Which one among the following three words is different to the others: Novelty, Playful, Irresistible? Why?","The word 'Novelty' is different to the other two words because it is an noun, while the others are adjectives.",databricks/databricks-dolly-15k,7252
dolly-8772,factual,Which of the numbers 1 through 10 are prime numbers?,"The numbers 2, 3, 5 and 7 are prime numbers.",databricks/databricks-dolly-15k,8772
dolly-2802,factual,What is meant by the saying “break a leg”?,"“Break a leg” is a way to wish someone good luck, especially before a performance.",databricks/databricks-dolly-15k,2802
dolly-3719,factual,"Of the items, tomato, broccoli, plane, sausage, pineapple, grass, honey, and milk would a human not like to consume?",A human would prefer not to eat a plane or grass.,databricks/databricks-dolly-15k,3719
dolly-9180,factual,How to evaluate an equation with multiple operations?,"Use PEMDAS (Parantheses, Exponents, Multiplication, Division, Addition and Substraction) as the order in which calculations are performed",databricks/databricks-dolly-15k,9180
dolly-11475,factual,What is the best way to handle depression,Anti-depressants and drugs can be used to manage depression but there are also other more natural ways to help manage it too. Another way to help with depression is by simple exercise because exercise releases endorphins and other feel good hormones that help with the down feeling that comes with depression. It is always best to consult with a doctor to evaluate if exercise would be a good way to help you manage it too because it some cases it may not be a prescribed regime.,databricks/databricks-dolly-15k,11475
dolly-11132,factual,What are some well known movies with Leonardo DiCaprio?,"Well known movies with Leonard DiCaprio are Inception, Titanic, The Wolf of Wall Street, and Shutter Island",databricks/databricks-dolly-15k,11132
dolly-11304,factual,Why are dogs called dogs?,"About seven centuries ago, the word hound, which came from the Old English hund, was the word for all domestic canines. Dog was just used to refer to a subgroup of hounds that includes the lovely but frequently slobbering mastiff. Of course, the opposite is now true. We use dog to talk about all of man’s best friends, from lovable golden retrievers to panting chow chows. And hound is now used to indicate a type of dog used just for hunting. Hound especially refers to a dog with a long face and large, droopy ears. Linguists still speculate about the reversal of fortune for hound and dog. One idea suggests that the sub-breed known as dogs became so populous that dog simply became the generic term (sort of an animal equivalent of the way brand names can become so ubiquitous that they start to be used as a general term for their purpose).",databricks/databricks-dolly-15k,11304
dolly-2313,factual,What is the company zoom?,Zoom is a video communication protocol used by many companies today. Zoom has been used by school to conduct at home schooling during the COVID-19 pandemic. Zoom is also used by big Fortune 500 corporations to conduct business meetings internally with employees and externally with customers and other accounts. The virtual interaction offered by zoom is a great alternative to save costs on in-person meetings where physical travel is required. The company was founded in 2011 and has about 8500 employees as of 2023.,databricks/databricks-dolly-15k,2313
dolly-361,factual,What are the words of House Reed?,"""We Remember""",databricks/databricks-dolly-15k,361
dolly-7322,factual,What is the depth of focus of a camera?,"depth of focus is the range of distances that will be in focus in a picture taken by the camera with specific settings. Depending on the settings of the camera, the depth of focus can be very small, ranging in millimeters or centimeters to very large - hundreds of meters. The most important setting that will determine the depth of focus is the aperture used in the lens when the picture is taken. The aperture is how widely open the lens is and how much light is allowed to pass through it. A low f-stop or big aperture will minimize the depth of field, while a high f-stop or small aperture will maximize it. Depth of field is an element that photographers use in composition to blur or sharpen elements of the photograph, thus emphasizing or de-emphasizing certain aspects.",databricks/databricks-dolly-15k,7322
codealpaca-993,coding,"Write a function that takes in two strings as input and outputs True if they are anagrams, False otherwise.","def anagrams(s1, s2): if len(s1) != len(s2): return False s1_arr = list(s1) s2_arr = list(s2) s1_arr.sort() s2_arr.sort() for i in range(len(s1_arr)): if s1_arr[i] != s2_arr[i]: return False return True",sahil2801/CodeAlpaca-20k,993
